DOI,file_name,Study,Question,Column,Answer,OG_answer,Accurate?,Comments
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What test salinity was used in the exposure? Provide the salinity or state Not Reported.,Exposure Media Salinity,Not reported.[next_chunk]NULL[next_chunk]The salinity used in the exposure was not reported in the excerpt.[next_chunk]Not Reported.,,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,"What is the species focused on in the study? Acceptable answers are the scientific species name or """"Not reported"""".",Species,The species focused on in the study is Daphnia magna.[next_chunk]NULL[next_chunk]Daphnia magna.[next_chunk]Not reported.,Daphnia magna,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What test tempurature was used pu the exposure? Provide the tempurature or state Not Reported.,Exposure Media Tempurature,The test temperature used for the exposure was not reported in the excerpt.[next_chunk]NULL[next_chunk]The temperature used for the exposure test was not reported in the excerpt.[next_chunk]The test temperature used for the exposure was not reported in the manuscript.,20,No,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What test duration was used at the exposure? Provide the duration or state Not Reported.,Exposure Duration,The test duration used at the exposure was not reported in the excerpt.[next_chunk]NULL[next_chunk]The test duration used at the exposure is reported as 21 days.[next_chunk]Not Reported.,21,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,Was the exposure chronic or acute? Acceptable answers are Chronic or Acute.,Acute/Chronic,"The manuscript does not provide a clear answer to this question. However, based on the information provided, it appears that the study involved both acute and chronic exposure. The uptake and depuration experiments involved short-term exposure (15-240 minutes), which[next_chunk]NULL[next_chunk]Chronic.[next_chunk]The exposure in our study was chronic, as the microplastic particles were continuously present in the aquatic environment for a period of 30 days.",Chronic,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,How many treatment groups or doses were used for a given condition? Provide the number of groups.,Treatment Groups,"There were multiple treatment groups used for the microplastic uptake and depuration experiments, but the exact number is not specified in the excerpt. However, Table 1 provides information on the concentrations of microplastics and algae used in each treatment.[next_chunk]NULL[next_chunk]Six treatment groups were used for the condition of exposure to different combinations of microplastics and algae.[next_chunk]The number of treatment groups or doses used for a given condition varied depending on the specific experiment. However, all experiments included at least one control group and one or more treatment groups. The number of treatment groups ranged from 2 to 5,",2,No,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,How many times was the experiment replicated? Provide the number of times.,Replicates,The experiment was replicated four times for each treatment.[next_chunk]NULL[next_chunk]The number of replicates is not explicitly stated in the excerpt.[next_chunk]The number of times the experiment was replicated is not provided in this excerpt.,8,No,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,How large was the sample size per replicate? Report the size.,Sample Size,"The manuscript does not provide information on the exact sample size per replicate for the experiments conducted.[next_chunk]NULL[next_chunk]The manuscript does not provide a specific number for the sample size per replicate.[next_chunk]Unfortunately, the provided excerpt does not contain information on the sample size per replicate. Please provide more context or information from the manuscript for me to accurately answer this question.",1,No,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,How frequent were doses administered to the test organisms?,Dosing Frequency,"The manuscript does not provide information on the frequency of doses administered to the test organisms.[next_chunk]NULL[next_chunk]The manuscript does not provide a specific frequency for the administration of doses to the test organisms. However, it does mention that the daphnia were exposed to mps and/or algae for 21 days, and that the minimum and maximum normal daily[next_chunk]The doses of microplastics were administered to the test organisms on a daily basis for a period of 21 days. The concentration of microplastics used in the study was determined based on previous literature and preliminary experiments to ensure that it was within",2,No,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What was the dose administered to the organism? Provide the dose.,Dose,"The dose administered to the organism was 1.46 × 102 mg/l of 2 µm polystyrene microplastics, with and without algae (calculated based on carbon 1.00 × 10−1 mg[next_chunk]NULL[next_chunk]The manuscript does not provide a single dose administered to the organism. Instead, the study exposed Daphnia magna to different combinations of microplastics and algae at various concentrations to investigate the effect of microplastics on the organism's mortality, reproduction[next_chunk]The dose administered to the organism was 10 mg/L of microplastics in the exposure medium.",0.001-0.01 microgram/ml,No,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What were the units of the dose given to the organism? Provide the units.,Dose Units,"The dose given to the organism was measured in mg/l (milligrams per liter).[next_chunk]NULL[next_chunk]The concentrations of microplastics (mps) and algae used in the experiment were given as volume/volume. No specific units were provided, but it can be assumed that they were in some form of volume measurement (e.g. mL/L).[next_chunk]The units of the dose given to the organism were milligrams per kilogram of body weight (mg/kg).",,,Not in old. 
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What chemicals were initially sorbed to the particles prior to exposures if any? Provide the chemical name or Not Reported.,Chemical Addition,The manuscript does not provide information on whether any chemicals were initially sorbed to the particles prior to exposures.[next_chunk]NULL[next_chunk]The manuscript does not report any specific chemicals that were sorbed to the particles prior to exposures.[next_chunk]Not Reported.,,,Not in old. 
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,"What is the environment focused on in the study? Acceptable answers are: Freshwater, Marine, Not reported.",Environment,The study focuses on the impact of polystyrene microplastics on the freshwater cladoceran Daphnia magna.[next_chunk]NULL[next_chunk]Freshwater.[next_chunk]Not reported.,Freshwater,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,"What is the life stage of the organism being studied? Acceptable answers are: Adult, Early, Juvenile  Not Reported.",Life.Stage,"The organism being studied is adult Daphnia magna.[next_chunk]NULL[next_chunk]The manuscript is studying the impact of microplastics on Daphnia magna, but it does not specify the life stage of the organism being studied. Therefore, the answer is Not Reported.[next_chunk]The life stage of the organism being studied was not reported in the manuscript.",Adult and Early,No,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,"Is this an in vivo study or an in vitro study? Acceptable answers are: In Vivo, In Vitro, Not Reported.",In vitro/in vivo,In Vivo[next_chunk]NULL[next_chunk]In Vivo[next_chunk]The information provided in the excerpt is insufficient to determine whether the study is in vivo or in vitro.,In Vivo,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,"Is the organism being studied a male or female? Acceptable answers are: Male, Female, Not Reported.",Sex,Not reported.[next_chunk]NULL[next_chunk]Not reported.[next_chunk]This question is not relevant to the content of the manuscript and cannot be answered based on the given excerpt.,,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What is the estimated body length of the organism being studied? Provide the length and units or answer Not Reported.,Estimated Body Length (cm),"Not Reported.[next_chunk]NULL[next_chunk]The estimated body length of the organism being studied is reported in the manuscript as shown in Figure 8, but the actual length and units are not provided.[next_chunk]Not Reported.",0.5,No,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What is the maximum size of an object that could be ingested by the organism being studied? Provide length and units or answer Not Reported.,Estimated Maximum Ingestible Size (mm),The maximum size of an object that could be ingested by the organism being studied (Daphnia magna) is not reported in the excerpt.[next_chunk]NULL[next_chunk]Not reported.[next_chunk]Not Reported.,0.11487,No,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,"How are plastics introduced to the organism being studied? Acceptable answers are: Water, Food, Sediment, Dermal, Drinking Water, Food, Gavage, Inhalation, Intracheal Instillation, IV Injection, Not Reported.   ",Exposure Route,"Plastics are introduced to the organism being studied, Daphnia magna, through food intake. The algae Chlorella vulgaris, which is used to feed the daphnia, may contain microplastics. The study investigates the impact of[next_chunk]NULL[next_chunk]Plastics are introduced to the organism being studied (Daphnia magna) through food, specifically algae, and through exposure to microplastic particles in the water.[next_chunk]The microplastics used in this study were introduced to the organism through ingestion of contaminated food. The food was prepared by mixing a known amount of microplastics with the organism's regular diet. The microplastics used in this study were obtained",water,No,This input could be wrong. 
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,"What is the organism group focused on in the study? Acceptable answers are: Algae, Annelida, Bacteria, Cnidaria, Crustacea, Echinodermata, Fish, Insect, Mollusca, Nematoda, Plant, Rotifera, Not Reported.",Organism Group,"The organism group focused on in the study is marine zooplankton, including rotifers, copepods, bivalves, echinoderms, and fish.[next_chunk]The study focuses on multiple organism groups, including rotifers, copepod nauplii, bivalve veliger, sea-urchin plutei larvae, and Oryzias melastigma fish embryos and larvae.[next_chunk]The organism group focused on in the study is zooplanktonic organisms, including rotifers, copepods, bivalves, echinoderms, and fish embryos.[next_chunk]Not reported.","rotifers, copepods, bivalves, echinoderms, and fish",Yes,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,Were organisms involved in this study only exposed to leachate derived from plastics and nonplastics? Acceptable answers are: Yes or No.,Leachate,"No. The organisms were exposed to both virgin and benzophenone-3 spiked polyethylene microplastics.[next_chunk]No. The organisms were exposed to microplastics themselves, not just leachate derived from plastics and nonplastics.[next_chunk]The information provided in the excerpt does not indicate whether organisms involved in the study were exposed to leachate derived from plastics and nonplastics.[next_chunk]Answer: Yes.",,,Not in old. 
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,Were organisms involved in this study exposed to a mixture of plastics simultaneously? Acceptable answers are: Yes or No.,Mix,"Yes. The study tested the toxicity of both virgin and benzophenone-3 spiked polyethylene microplastics on a battery of species representative of the main taxa present in marine zooplankton.[next_chunk]Yes.[next_chunk]Yes. The organisms were exposed to polyethylene microplastics (PE-MP) of different sizes.[next_chunk]Yes, the organisms in this study were exposed to a mixture of plastics simultaneously.",,,Not in old. 
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,Was the study performed in the lab or in the field as a mesocosm experiment? Acceptable answers are Mesocosm or Lab.,Study Type,Lab.[next_chunk]Lab.[next_chunk]The study was performed in the lab.[next_chunk]Lab.,,,Not in old. 
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,"Was a negative control, i.e. treatment without plastic particles or leachate used? Acceptable answers are Yes or No. ",Negative Control,"The manuscript does not explicitly state whether a negative control was used.[next_chunk]Yes.[next_chunk]The manuscript does not explicitly state whether a negative control was used.[next_chunk]Yes, a negative control was used in this study. The negative control group was treated with the same conditions as the experimental groups, but without the addition of plastic particles or leachate.",Y,Yes,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,Was a particle besides plastic tested in one of the treatments (e.g. kaolin)? Acceptable answers are Yes or No.,Reference Particle,No.[next_chunk]The manuscript does not provide information on whether a particle besides plastic was tested in one of the treatments.[next_chunk]No.[next_chunk]No.,N,Yes,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,What test media was used in the exposure? Provide the name of the media or state Not Reported.,Exposure Media,The test media used in the exposure was not reported in the excerpt.[next_chunk]The test media used in the exposure was not reported in the excerpt.[next_chunk]The test media used in the exposure was not reported in the excerpt.[next_chunk]Not Reported.,filtered seawater,No,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,What test solvent was used in the exposure? Provide the name of the solvent or state Not Reported.,Exposure Solvent,The test solvent used in the exposure was not reported.[next_chunk]Not Reported.[next_chunk]The test solvent used in the exposure was not reported in the excerpt.[next_chunk]Not Reported.,,Yes,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,What test detergent was used in the exposure? Provide the name of the detergent or state Not Reported.,Exposure Detergent,The test detergent used in the exposure was not reported in the excerpt.[next_chunk]Not reported.[next_chunk]The name of the detergent used in the exposure was not reported in the excerpt.[next_chunk]Not Reported.,,Yes,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,What test ph of the media was used in the exposure? Provide the name of the ph or state Not Reported.,Exposure Media pH,"The pH of the media used in the exposure was not reported in the excerpt.[next_chunk]Not reported.[next_chunk]The pH of the media used in the exposure was not reported in the excerpt.[next_chunk]As per the manuscript, the test pH of the media used in the exposure was not reported.",8,No,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,What test salinity was used in the exposure? Provide the salinity or state Not Reported.,Exposure Media Salinity,"The test salinity used in the exposure was reported as 20‰ for the rotifer Brachionus plicatilis, but it is not reported for the crustacean Tigriopus fulvus.[next_chunk]The salinity used in the exposure was not reported.[next_chunk]The salinity used in the exposure was not reported in the excerpt.[next_chunk]Not Reported.",20-34,Yes,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,"What is the species focused on in the study? Acceptable answers are the scientific species name or """"Not reported"""".",Species,"The study focuses on multiple species representative of the main taxa present in marine plankton, including rotifers, copepods, bivalves, echinoderms, and fish.[next_chunk]The study focuses on multiple species, including rotifers, copepod nauplii, bivalve veliger, sea-urchin plutei larvae, and Oryzias melastigma embryos.[next_chunk]The study focuses on various marine zooplanktonic organisms, including rotifers, copepods, bivalves, echinoderms, and fish embryos.[next_chunk]Not reported.","Brachionus plicatilis, Mytilus galloprovincialis, Tigriopus fulvus, Acartia clausi, Oryzias melastigma, Paracentrotus lividus",No,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,What test tempurature was used pu the exposure? Provide the tempurature or state Not Reported.,Exposure Media Tempurature,"The test temperature used for the exposure was not reported in the excerpt.[next_chunk]The test temperature was reported as 20°C, except for the Oryzias melastigma test which was conducted at 28 ± 0.3°C.[next_chunk]The temperature used for the exposure test was not reported in the excerpt.[next_chunk]Not Reported.",18-28,Yes,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,What test duration was used at the exposure? Provide the duration or state Not Reported.,Exposure Duration,The test duration used at the exposure is not reported in the excerpt.[next_chunk]The test duration used at the exposure is not reported in the excerpt.[next_chunk]The test duration used at the exposure was not reported in the excerpt.[next_chunk]Not Reported.,1,No,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,Was the exposure chronic or acute? Acceptable answers are Chronic or Acute.,Acute/Chronic,"Acute.[next_chunk]The manuscript describes both chronic and acute exposure tests.[next_chunk]The manuscript describes both acute and chronic exposure experiments. Acute toxicity tests were conducted with waterborne BP-3 using various marine organisms, while chronic exposure experiments were conducted with polyethylene microplastics spiked with BP-3.[next_chunk]The exposure in our study was chronic, as the microplastic particles were continuously present in the aquatic environment for a period of 30 days.",Acute,No,
10.1016/j.jhazmat.2018.07.101,Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Beiras et al. - 2018 - Ingestion and contact with polyethylene microplast.txt,How many treatment groups or doses were used for a given condition? Provide the number of groups.,Treatment Groups,"For the toxicity testing with the rotifer Brachionus plicatilis, there were multiple treatment groups including a reference toxicant (K2Cr2O7), control seawater, and serial dilutions of BP-3,[next_chunk]The number of treatment groups or doses used for a given condition varies across the different tests and is not consistent. However, the manuscript mentions the use of control groups and serial dilutions of the tested microplastics (bp3, pe-mp[next_chunk]The number of treatment groups or doses used for a given condition varies depending on the organism and the condition being tested. For example, in the toxicity testing with waterborne BP-3, six different concentrations were tested for A. clausi,[next_chunk]The number of treatment groups or doses used for a given condition varied depending on the specific experiment. However, all experiments included at least one control group and one or more treatment groups. The number of treatment groups ranged from 2 to 5,",2 to 5,Yes,
